All,Kaikki
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi toimitusosoitteen oikeaa ALV-laskentaa varten."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi laskutusosoitteen oikeaa ALV-laskentaa varten."
"Thank you for registering with %1.","Kiitos rekisteröitymisestä verkkokauppaan %1."
"Please check your email for confirmation key.","Tarkista sähköpostistasi vahvistusavain."
"This email does not require confirmation.","Tämä sähköposti ei vaadi vahvistusta."
"Wrong email.","Väärä sähköpostiosoite."
"Your password reset link has expired.","Salasanan palautuslinkki on vanhentunut."
"We can't save the customer.","Asiakasta ei voida tallentaa."
"Please make sure your passwords match.","Varmista, että salasanat täsmäävät."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi toimitusosoitteen oikeaa ALV-laskentaa varten."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Jos olet rekisteröitynyt ALV-asiakas, ole hyvä ja klikkaa <a href=""%1""> tästä</a> syöttääksesi laskutusosoitteen oikeaa ALV-laskentaa varten."
"You saved the account information.","Tilin tiedot on tallennettu."
"Password confirmation doesn't match entered password.","Salasanan vahvistus ei täsmää annettuun salasanaan."
"We're unable to send the password reset email.","Salasanan palautussähköpostia ei voitu lähettää."
"Please enter your email.","Syötä sähköpostiosoitteesi."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Jos sähköpostiosoitteella %1 on olemassa tili, saat sähköpostin jossa on ohjeet uuden salasanan asettamiseksi."
"An unspecified error occurred. Please contact us for assistance.","Tapahtui virhe, ole hyvä ja ota yhteyttä meihin."
"A login and a password are required.","Käyttäjätunnus ja salasana ovat pakolliset."
"New Password and Confirm New Password values didn't match.","Uusi salasana ja vahvista uusi salasana -arvot eivät vastaa toisiaan."
"Please enter a new password.","Kirjoita uusi salasana."
"You updated your password.","Päivitit salasanasi."
"Something went wrong while saving the new password.","Jotain meni pieleen tallentaessa uutta salasanaa."
"You deleted the address.","Poistit osoitteen."
"We can't delete the address right now.","Osoitetta ei voida poistaa juuri nyt."
"You saved the address.","Tallensit osoitteen."
"We can't save the address.","Osoitetta ei voida tallentaa."
"You deleted the customer group.","Asiakasryhmä poistettiin."
"The customer group no longer exists.","Asiakasryhmää ei enää ole olemassa."
"New Group","Uusi ryhmä"
"New Customer Groups","Uudet asiakasryhmät"
"Edit Group","Muokkaa ryhmää"
"Edit Customer Groups","Muokkaa asiakasryhmiä"
"You saved the customer group.","Asiakasryhmä on tallennettu."
"Please select customer(s).","Valitse asiakas/asiakkaat."
"Customer could not be deleted.","Asiakasta ei voi poistaa."
"You deleted the customer.","Asiakas on poistettu."
"Something went wrong while editing the customer.","Jokin meni vikaan asiakasta muokattaessa."
"Manage Customers","Hallinnoi asiakkaita"
"The customer will receive an email with a link to reset password.","Asiakkaalle lähetetään sähköpostitse salasanan palautuslinkki."
"Something went wrong while resetting customer password.","Asiakkaan salasanan palauttamisessa tapahtui virhe."
"You saved the customer.","Asiakas on tallennettu."
"Something went wrong while saving the customer.","Asiakkaan tietojen tallennuksessa tapahtui virhe."
"Customer has been unlocked successfully.","Asiakkaan avaus onnistui."
"Online Customers",Online-asiakkaat
"Customers Now Online","Asiakkaat nyt Online"
"Please define Wish List item ID.","Määritä toivelistan nimekkeen tunnus."
"Please load Wish List item.","Lataa toivelistan tuote."
"Login successful.","Kirjautuminen onnistui."
"The account is locked.","Tili on lukittu."
"Please enter a password with at most %1 characters.","Kirjoita salasana, jossa on enintään %1 merkkiä."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Salasanan muodostamiseen käytettävien eri merkki-luokkien määrä on vähintaään %1. Merkki-luokkia ovat: isot kirjaimet, pienet kirjaimet, erikoismerkit, numerot."
"This customer already exists in this store.","Tämä asiakas on jo olemassa tässä kaupassa."
"""%1"" is a required value.","""%1"" on pakollinen tieto."
"Per Website",Verkkosivukohtainen
"""%1"" is not a valid URL.","""%1"" ei ole kelvollinen URL."
"""%1"" is not a valid date.","""%1"" ei ole kelvollinen päivämäärä."
"""%1"" length must be equal or greater than %2 characters.","""%1"" vaadittu vähimmäispituus on %2 merkkiä."
"""%1"" length must be equal or less than %2 characters.","""%1"" maksimipituus on enintään %2 merkkiä."
"You can't delete group ""%1"".","Ryhmää ""%1"" ei voi poistaa."
"Customer Group already exists.","Asiakasryhmä on jo olemassa."
"Cannot delete group.","Ryhmää ei voi poistaa."
"Error during VAT Number verification.","ALV-tunnuksen tarkistuksessa tapahtui virhe."
"VAT Number is valid.","ALV-numero on voimassa."
"Please enter a valid VAT number.","Kirjoita voimassa oleva ALV-numero."
"Your VAT ID was successfully validated.","ALV-tunnuksen varmennus onnistui."
"You will be charged tax.","Sinulta tullaan veloittamaan verot."
"You will not be charged tax.","Sinulta ei tulla veloittamaan veroja."
"The VAT ID entered (%1) is not a valid VAT ID.","Annettu ALV-tunnus (%1) ei ole kelvollinen ALV-tunnus."
"Your Tax ID cannot be validated.","Alv-tunnusta ei voida vahvistaa."
Male,Mies
Female,Nainen
"NOT LOGGED IN","EI KIRJAUTUNEENA SISÄÄN"
"Delete address","Poista osoite"
Visitor,Vierailija
"Personal Information","Henkilökohtaiset tiedot"
"Last Logged In:","Viimeksi kirjautunut:"
"Last Logged In (%1):","Viimeisin sisäänkirjautuminen (%1):"
"Confirmed email:","Vahvistettu sähköposti:"
"Account Created:","Tili luotu:"
"Account Created on (%1):","Tili luotu (%1):"
"Customer Group:",Asiakasryhmät:
"Default Billing Address",Oletuslaskutusosoite
"Sales Statistics",Myyntitilastot
"Manage Addresses","Osoitteiden hallinta"
"Default Shipping Address",Oletustoimitusosoite
"Contact Information",Yhteystiedot
"Change Password","Vaihda salasana"
Newsletters,Uutiskirjeet
"You are subscribed to ""General Subscription"".","Olet tilannut kohteen ""Yleinen tilaus""."
"Default Addresses",Oletusosoitteet
"Change Billing Address","Muuta laskutusosoite"
"You have no default billing address in your address book.","Sinulla ei ole oletuslaskutusosoitetta osoitekirjassasi."
"Change Shipping Address","Muuta toimitusosoite"
"You have no default shipping address in your address book.","Sinulla ei ole oletustoimitusosoitetta osoitekirjassasi."
"Street Address %1","Katuosoite %1"
"It's a default billing address.","Se on oletuslaskutusosoite."
"Use as my default billing address","Käytä oletuslaskutusosoitteenani"
"It's a default shipping address.","Se on oletustoimitusosoite."
"Use as my default shipping address","Käytä oletustoimitusosoitteenani"
"Go back",Takaisin
"Additional Address Entries",Lisäosoitteet
"Please enter your email below and we will send you the confirmation link.","Syötä sähköpostiosoitteesi vahvistuslinkin lähettämistä varten."
"Send confirmation link","Lähetä vahvistuslinkki"
"Back to Sign In","Takaisin kirjautumiseen"
"Change Email","Vaihda sähköpostiosoitetta"
"Change Email and Password","Vaihda sähköpostiosoite ja salasana"
"Current Password","Nykyinen salasana"
"Password Strength","Salasanan vahvuus"
"No Password","Ei salasanaa"
"Confirm New Password","Vahvista uusi salasana"
"Please enter your email address below to receive a password reset link.","Ole hyvä ja kirjoita sähköpostiosoitteesi alle saadaksesi linkin salasanan palautukseen."
"Reset My Password","Nollaa salasanani"
"Registered Customers","Rekisteröityneet asiakkaat"
"If you have an account, sign in with your email address.","Jos sinulla on jo tili, kirjaudu sisään sähköpostiosoitteellasi."
"Subscription option",Tilaustiedot
"General Subscription","Yleinen tilaus"
"Sign Up for Newsletter","Tilaa uutiskirje"
"Address Information",Osoitetiedot
"Sign-in Information",Kirjautumistiedot
"Confirm Password","Vahvista Salasana"
"Set a New Password","Aseta uusi salasana"
"You have signed out and will go to our homepage in 5 seconds.","Olet kirjautunut ulos, palaat etusivullemme 5 sekunnin kuluessa."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Tiliä ei ole vahvistettu, <a href=""%1"">klikkaa tästä</a> uudelleenlähettääksesi vahvistussähköpostin."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Tällä sähköpostiosoitteella on jo olemassaoleva asiakastili. Jos olet varma että se on sinun, <a href=""%1"">klikkaa tästä</a> ja nollaa salasana tilillesi."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Tilin luomisesta on monia etuja: nopeammat tilaukset, useiden osoitteiden säilyttäminen, tilausten seuranta ja paljon muuta."
Fax,Faksi
"Welcome to %store_name","Tervetuloa %store_name -kauppaan"
"Welcome to %store_name.","Tervetuloa %store_name -kauppaan!"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Kirjautuaksesi sivustollemme, käytä näitä tunnistetietoja kassalla tai <a href=""%customer_url"">Oma tili</a> -sivulla:"
Email:,Sähköposti:
Password:,Salasana:
"Password you set when creating account","Salasana, jonka asetit tilin luonnin yhteydessä"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Unohditko salasanan? Klikkaa <a href=""%reset_url"">tästä</a> nollataksesi sen."
"Proceed through checkout faster","Ostaa nopeammin"
"Check the status of orders","Tarkastaa tilausten tilan"
"View past orders","Tarkastella aikaisempia tilauksia"
"Store alternative addresses (for shipping to multiple family members and friends)","Tallentaa vaihtoehtoisia osoitteita (toimitus esimerkiksi perheenjäsenille ja ystäville)"
"Please confirm your %store_name account","Vahvista tilisi kauppaan %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Sinun täytyy vahvistaa sähköpostiosoitteesi %customer_email ennen kuin voit kirjautua sisään (linkki toimii vain kerran):"
"Confirm Your Account","Vahvista tilisi"
"Thank you for confirming your %store_name account.","Kiitos %store_name tilisi vahvistamisesta."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Kirjautuaksesi sivustollemme ja asettaaksesi salasanan, klikkaa <a href=""%create_password_url"">linkkiä</a>:"
"We have received a request to change the following information associated with your account at %store_name: email.","Olemme saaneet pyynnön muuttaa sähköpostiosoitteen %store_name -tilissäsi."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Jos et ole pyytänyt tätä toimintoa, ota välittömästi yhteyttä osoitteeseen <a href=""mailto:%store_email"">%store_email</a>"
"Your %store_name email and password has been changed","Sinun %store_name -sähköpostisi ja -salasanasi on muutettu"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Olemme saaneet pyynnön muuttaa seuraavia tietoja %store_name -tilissäsi: sähköposti, salasana."
"Reset your %store_name password","Aseta uusi salasana %store_name -verkkokauppaan"
"There was recently a request to change the password for your account.","Tilisi salasananvaihto on tilattu äskettäin."
"If you requested this change, set a new password here:","Jos olet pyytänyt tämän muutoksen, palauta salasanasi tästä:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jos et jättänyt tätä pyyntöä, voit ohittaa tämän sähköpostin ja salasana pysyy samana."
"Your %store_name password has been changed","Sinun %store_name -salasanasi on muutettu"
"We have received a request to change the following information associated with your account at %store_name: password.","Olemme saaneet pyynnön muuttaa salasanaasi %store_name -tilissäsi."
"Check out faster","Tilaa nopeammin"
"Show Password","Näytä salasana"
"Are you sure you want to delete this address?","Oletko varma, että haluat poistaa tämän osoitteen?"
Weak,Heikko
Medium,Keskitaso
Strong,Vahva
"Very Strong","Erittäin vahva"
"Invalid date","Virheellinen päivämäärä"
"All Customers","Kaikki asiakkaat"
"Reset password","Vaihda salasana"
"Now Online","Nyt paikalla"
"Customer Configuration","Asiakkaiden hallinnointi"
"Account Sharing Options","Tilin jakamisen asetukset"
"Default Group",Oletusryhmä
"Show VAT Number on Storefront","Näytä ALV-numero/Y-tunnus kaupan etusivulla"
"Default Welcome Email",Oletustervetuliaisviesti
"Welcome Email",Tervetuliaissähköposti
"Password Options",Salasana-asetukset
"Forgot Email Template","Salasanan palautuksen sähköpostimalli"
"Minimum Password Length","Salasanan vähimmäispituus"
"Maximum Login Failures to Lockout Account","Epäonnistuneiden kirjautumisten maksimimäärä ennen tilin lukkiutumista"
"Lockout Time (minutes)","Lukitusaika (minuuteissa)"
"Enable Autocomplete on login/forgot password forms","Salli automaattinen täyttö kirjautumis- ja palautuslomakkeissa"
"Number of Lines in a Street Address","Katuosoitteen rivien määrä"
"Always optional.","Aina valinnainen."
"Show Date of Birth","Näytä syntymäaika"
"Show Tax/VAT Number","Näytä ALV-numero / Y-tunnus"
"Show Gender","Näytä sukupuoli"
"Show Telephone","Näytä puhelinnumero"
"Show Company","Näytä yritys"
"Show Fax","Näytä faksi"
"Assign a Customer Group","Määritä asiakasryhmä"
"Update Address","Päivitä osoite"
"Name Prefix","Nimen etuliite"
"Name Suffix","Nimen jälkiliite"
Group,Ryhmä
"Add New Customer","Lisää uusi asiakas"
"Subscribe to Newsletter","Tilaa Uutiskirje"
"Unsubscribe from Newsletter","Peru uutiskirjeen tilaus"
"Customer Since","Asiakas alkaen"
"Confirmed email","Vahvistettu sähköposti"
"Tax VAT Number","ALV-numero / Y-tunnus"
"Billing Firstname","Laskutettavan etunimi"
"Billing Lastname","Laskutettavan sukunimi"
"Last Activity","Viimeksi nähty"
Addresses,Osoitteet
"Edit Account Information","Muokkaa tilin tietoja"
"Password forgotten","Salasana unohtunut"
"You are signed out","Olet kirjautunut ulos"
"Customer notified","Asiakkaalle ilmoitettu"
Notified,Ilmoitettu
"More information",Lisätietoja
"Notify Customer by Email","Ilmoita asiakkaalle sähköpostitse"
"Please specify a valid customer.","Määritä kelvollinen asiakas."
Used,Käytetty
available,saatavilla
"Refunded to Store Credit","Hyvitetty myymäläpisteille"
"Customer Address Attributes","Asiakkaan osoitemääritteet"
"Lines Count",Rivilaskuri
"Valid range 2-20","Kelvollinen alue 2-20"
"Minimum Text Length","Tekstin vähimmäispituus"
"Maximum Text Length","Tekstin enimmäispituus"
"Maximum File Size (bytes)","Tiedoston enimmäiskoko (tavua)"
"File Extensions",Tiedostotunnisteet
"Maximum Image Width (px)","Kuvan enimmäisleveys (px)"
"Maximum Image Height (px)","Kuvan maksimikorkeus (pikseliä)"
"Show on Storefront","Näytä kaupan etusivulla"
"Visible to Customer","Näkyvissä asiakkaalle"
"You cannot delete this attribute.","Tätä attribuuttia ei voi poistaa."
"Choose Website:","Valitse sivusto:"
"This is your default billing address.","Tämä on oletuslaskutusosoitteesi."
"This is your default shipping address.","Tämä on oletustoimitusosoitteesi."
"Customer Address","Asiakkaan osoite"
"Data was imported by %1","Tiedot tuotiin %1"
"Reward Points",Palkintopisteet
"Please specify a website.","Ole hyvä ja määritä sivusto."
"Please enter a valid email.","Anna voimassa oleva sähköpostiosoite."
Segments,Segmentit
"Add Segment","Lisää segmentti"
"New Segment","Uusi segmentti"
"* applicable to visitors and registered customers","* koskee vierailijoita ja rekisteröityneitä asiakkaita"
"General Properties","Yleiset ominaisuudet"
"Visitors and Registered Customers","Vierailijat ja rekisteröityneet asiakkaat"
Visitors,Vierailijat
Segment,Segmentti
Reports,Raportit
contains,sisältää
"does not contains","ei sisällä"
"Product List",Tuoteluettelo
"Product History","Tuotteen historia"
"Default Address",Oletusosoite
Billing,Laskutus
has,on
"Customer %1","Asiakas %1"
"Newsletter Subscription","Uutiskirjeen tilaus"
"Customer is %1 to newsletter.","Asiakas on %1 uutiskirjeeseen."
subscribed,tilattu
"not subscribed","ei tilattu"
"Open Chooser","Avaa valitsin"
"Order Status","Tilauksen tila"
"Product %1","Tuote %1"
ordered,tilattu
was,oli
"was not","ei ollut"
"Wish List",Toivelista
"Grand Total",Loppusumma
"Gift Card",Lahjakortti
"Products Quantity","Tuotteiden määrä"
"equals or greater than","yhtä suuri tai suurempi kuin"
"equals or less than","yhtä suuri tai vähemmän kuin"
"greater than","suurempi kuin"
"less than","vähemmän kuin"
"AVS result code",AVS-tuloskoodi
"CVN result code",CVN-tuloskoodi
"Card number","Kortin numero"
"Card expiry date","Kortin viimeinen voimassaolopäivä"
"Risk Score",Riskiluku
"Your payment has been declined. Please try again.","Maksu on hylätty. Yritä uudelleen."
"Client side less compilation","Less-kääntö päätelaitteessa"
"Frontend Development Workflow","Frontend-kehityksen työnkulku"
"Allowed IPs (comma separated)","Sallitut IP-osoitteet (pilkulla erotettuna)"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Valitsemalla tämän voit sallia DHL:n optimoimaan toimituskulut jakamalla tilauksen, jos se ylittää %1 %2."
"Wrong Content Type","Väärä sisällön tyyppi"
Pounds,Paunaa
Kilograms,Kilogrammaa
Inches,Tuumaa
Centimeters,Senttimetriä
inch,tuuma
Height,Korkeus
Depth,Syvyys
Width,Leveys
Others,Muut
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","DHL:n toimitustapa %1 ohitettiin, koska valuttakurssia %2 ei löydy (päävaluutta)."
"Please specify origin country.","Määritä alkuperämaa."
Documents,Asiakirjoja
"Account Number",Tilinumero
"Handling Fee",Käsittelykulut
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Valitse tämä salliaksesi DHL:n optimoida toimituskulut jakamalla tilauksen, jos se ylittää %1 %2."
"Weight Unit",Painoyksikkö
Size,Koko
"FATAL ERROR:","VAKAVA VIRHE:"
WARNING:,VAROITUS:
"Your current currency is: %1.","Nykyinen valuuttasi on: %1."
Continue,Jatka
"Currency Setup",Valuutta-asetukset
"Currency Options",Valuutta-asetukset
"Base Currency",Oletusvaluutta
"Allowed Currencies","Sallitut valuutat"
"Connection Timeout in Seconds","Yhteyden aikakatkaisu sekunteina"
"Scheduled Import Settings","Ajastetun tuonnin asetukset"
Service,Palveluntarjoaja
"Installed Currencies","Asennetut valuutat"
"Zip/Postal Code is Optional for","Maat, joille postinumero on valinnainen"
"State Options","Osavaltion/maakunnan asetukset"
"Document is not saved due to error.","Tiedostoa ei tallennettu virheen vuoksi."
"Invalid XML in file %1:\n%2","Virheellinen XML tiedostossa %1:\n%2"
"Downloadable Information","Ladattavat tiedot"
"Add New Link","Lisää uusi linkki"
"Upload Files","Lähetä tiedostoja"
Unlimited,Rajaton
"Something went wrong while getting the requested content.","Tapahtui virhe noudettaessa pyydettyä sisältöä."
"My Downloadable Products","Omat ladattavat tuotteeni"
"We can't find the link you requested.","Pyydettyä linkkiä ei löydy."
"Please sign in to download your product.","Kirjaudu sisään tuotteen lataamiseksi."
"The link has expired.","Linkki on vanhentunut."
"Invalid download link type.","Virheellinen latauslinkin tyyppi."
"Order id cannot be null","Tilausnumero ei voi olla tyhjä"
attachment,liite
Pending,Odottaa
Links,Linkit
"Go to <a href=""%1"">My Downloadable Products</a>","Siirry <a href=""%1"">Omiin ladattaviin tuotteisiini</a>"
"View Order","Katso tilaus"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut ladattavia tuotteita."
download,lataa
Downloads,Lataukset
"Disable Guest Checkout if Cart Contains Downloadable Items","Poista vieraana ostaminen käytöstä, jos ostoskori sisältää ladattavia tuotteita"
"Default Label",Oletusselite
"Default label",Oletusselite
"Decimal Number",Desimaaliluku
"Unique constraint violation found","Yksilöllinen rajoite rikkomus löytyi"
"The value of attribute ""%1"" is invalid.","Attribuutin ""%1"" arvo on virheellinen."
"EAV types and attributes","EAV-tyypit ja attribuutit"
"Could not ping search engine: %1","Ei voitu pingata hakukonetta: %1"
"Elasticsearch Server Port","Elasticsearch-palvelimen portti"
"Test Connection","Testaa yhteys"
"Add New Template","Lisää uusi malli"
"Transactional Emails","Transaktioihin liittyvät sähköpostit"
"Delete Template","Poista malli"
"Convert to Plain Text","Muuta tekstimuotoon"
"Return Html Version","Palauta html-versio"
"Preview Template","Esikatsele mallia"
"Save Template","Tallenna malli"
"Load Template","Lataa malli"
"Edit Email Template","Muokkaa sähköpostimallia"
"New Email Template","Uusi sähköpostimalli"
"Template Information","Tietoja mallipohjasta"
"Currently Used For","Tällä hetkellä käytetään"
"Template Name","Mallipohjan nimi"
"Template Subject","Mallin aihe"
"Insert Variable...","Lisää muuttuja..."
"Template Content","Mallin sisältö"
"Template Styles",Mallipohjatyylit
"You deleted the email template.","Sähköpostimalli poistettiin."
"The email template is currently being used.","Sähköpostipohja on käytössä."
"We can't delete email template data right now. Please review log and try again.","Emme voi poistaa sähköpostimallia juuri nyt. Tarkista loki ja yritä uudelleen."
"We can't find an email template to delete.","Emme löydä sähköpostimallia poistettavaksi."
"Edit Template","Muokkaa mallia"
"New Template","Uusi viestipohja"
"Email Templates",Sähköpostimallit
"Email Preview","Sähköpostin esikatselu"
"An error occurred. The email template can not be opened for preview.","Tapahtui virhe, sähköpostimallia ei voida avata esikatselussa."
"This email template no longer exists.","Sähköpostimallia ei enää ole olemassa."
"You saved the email template.","Sähköpostimalli on tallennettu."
"Template Variables","Mallin muuttujat"
"Please enter a template name.","Ole hyvä ja syötä mallin nimi."
"Duplicate Of Template Name","Mallin nimen kaksoiskappale"
"Invalid transactional email code: %1","Virheellinen tapahtumatietosähköpostikoodi: %1"
"Requested invalid store ""%1""","Pyydetty virheellinen kauppa ""%1"""
"""file"" parameter must be specified","""tiedosto""-parametri on määritettävä"
"""file"" parameter must be specified and must not be empty","""tiedosto""-parametri on määritettävä, eikä se saa olla tyhjä"
"Design params must be set before calling this method","Ulkoasun parametrit on määritettävä ennen tämän menetelmän kutsumista"
"<pre> %1 </pre>",<pre>%1</pre>
"CSS inlining error:","CSS inlining -virhe:"
"Error filtering template: %s","Virhe suodattaessa mallia: %s"
"Invalid sender data","Virheelliset lähettäjän tiedot"
"Are you sure you want to strip tags?","Oletko varma, että haluat poistaa tagit?"
"Are you sure you want to delete this template?","Oletko varma, että halua poistaa tämän pohjan?"
"The template did not load. Please review the log for details.","Malli ei lataudu. Tarkista logi lisätietoja varten."
"Thank you, %store_name","Kiittäen, %store_name"
"No Templates Found","Malleja ei löydy"
"Template Type",Mallityyppi
"Logo Image","Logon kuva"
"Logo Image Alt","Logon kuvan vaihtoehtoisteksti"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Tarpeen vain, jos kuva on ladattu ylempänä. Kirjoita kuvapisteinä, ilman lisäämällä ""px""."
"Logo Width","Logon leveys"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Tarpeen vain, jos kuva on ladattu ylempänä. Kirjoita kuvapisteinä, ilman lisäämällä ""px""."
"Logo Height","Logon korkeus"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Header Template","Otsikon malli"
"Footer Template","Alatunnisteen malli"
"Change Encryption Key","Vaihda salausavain"
"Encryption Key",Salausavain
"New Encryption Key","Uusi salausavain"
"The encryption key is used to protect passwords and other sensitive data.","Salausavainta käytetään suojaamaan salasanoja ja muita arkaluonteisia tietoja."
"New Key","Uusi avain"
"Private Sales","Yksityiset myynnit"
"Address Verification","Osoitteen varmennus"
"Email Verification",Sähköpostivahvistus
"Mobile Verification",Mobiilivarmistus
"Response Code",Vastauskoodi
"Fraud Message",Petos-viesti
"Approve Message",Hyväksytty-viesti
"Wrong response type","Väärä vastaustyyppi"
"Connection Type",Yhteystyyppi
"Europe First Priority","Euroopan ensin -prioriteetti"
"Home Delivery",Kotiinkuljetus
"For some reason we can't retrieve tracking info right now.","Jostain syystä seurantatietoja ei voida hakea juuri nyt."
status,tila
Key,Avain
"Gift Card Information","Lahjakortin tiedot"
Virtual,Virtuaalinen
Physical,Fyysinen
Combined,Yhdistetty
"Add Amount","Lisää summa"
"Gift Card Type",Lahjakorttityyppi
"Gift Card Sender","Lahjakortin lähettäjä"
"Gift Card Recipient","Lahjakortin vastaanottaja"
"Gift Card Message","Lahjakortin viesti"
"Gift Card Lifetime","Lahjakortin voimassaoloaika"
"Gift Card Is Redeemable","Lahjakortti on lunastettavissa"
"We cannot create this gift card.","Lahjakorttia ei voida luoda."
"Gift Card Accounts",Lahjakorttitilit
"Something went wrong while preparing the gift card.","Lahjakortin valmistelussa tapahtui virhe."
"Please specify a gift card amount.","Määritä lahjakortin summa."
"Please specify all the required information.","Määritä kaikki vaaditut tiedot."
"Gift Card max amount is %1","Lahjakortin enimmäissumma on %1"
"Gift Card min amount is %1","Lahjakortin minimisumma on %1"
"Please specify a recipient name.","Määritä vastaanottajan nimi."
"Please specify a sender name.","Määritä lähettäjän nimi."
"Please specify a recipient email.","Määritä vastaanottajan sähköpostiosoite."
"Please specify a sender email.","Määritä lähettäjän sähköpostiosoite."
"Treat Balance as Store Credit","Käsittele saldoa kaupan luottomääränä"
"Lifetime (days)","Voimassa (päiviä)"
"Allow Message","Salli viestin lisäys"
"All Websites [%1]","Kaikki sivustot [%1]"
"Choose an Amount...","Valitse summa..."
"Other Amount...","Muu summa..."
"Amount in %1","Summa %1"
Minimum,Minimi
Maximum,Maksimi
"Recipient Name","Vastaanottajan nimi"
"Recipient Email","Vastaanottajan sähköpostiosoite"
"Maximum length of the message is %1 characters.","Viestin enimmäispituus on %1 merkkiä."
"Delete Amount","Poista summa"
"Minimum: %1","Vähintään: %1"
"Maximum: %1","Enintään: %1"
"You've been sent a gift from %store_name","Olet saanut lahjan %kaupan_nimi"
"%sender has sent you a gift card for use at <a href=""%store_url"">%store_name</a> and it is now ready to be used for purchases.","%sender on lähettänyt sinulle lahjakortin käytettäväksi <a href=""%store_url"">%store_name</a> voit käyttää sitä heti ostosten tekoon."
"Gift Cards",Lahjakortit
"Gift Card Email Settings","Lahjakortin sähköpostiasetukset"
Redeemable,Lunastettavissa
"Add Gift Card Account","Lisää lahjakorttitili"
"Save & Send Email","Tallenna & lähetä sähköposti"
"New Gift Card Account","Uusia lahjakorttitili"
Information,Tietoja
History,Historia
"New Account","Uusi tili"
"You deleted a total of %1 records.","Yhteensä %1 merkintää poistettu."
"Gift Card ""%1"" was redeemed.","Lahjakortti ""%1"" lunastettiin."
Expired,Vanhentunut
"Order #%1.","Tilaus #%1."
"Recipient: %1.","Vastaanottaja: %1."
Numeric,Numeerinen
"test message",testiviesti
Generate,Luo
" total)."," yhteensä)."
"Gift Card Code: %code","Lahjakortin koodi: %code"
"Gift Card:",Lahjakortti:
"Code Length","Koodin pituus"
"Excluding prefix, suffix and separators.","Ilman etuliitettä, loppuliitettä ja erottimia."
"Unknown entity type","Tuntematon entiteettityyppi"
"Do you have any gift items in your order?","Onko sinulla mitään lahjatuotteita tilauksessasi?"
"Gift Message (optional)","Lahjaviesti (valinnainen)"
"Are you sure you want to delete this gift registry?","Oletko varma että haluat poistaa tämän lahjarekisterin?"
"Delete Registry","Poista rekisteri"
"Product ID",Tuotetunnus
"Add to Gift Registry","Lisää lahjarekisteriin"
Requested,Pyydetty
Note,Muistiinpano
"Update Quantity","Päivitä määrä"
"Remove Item","Poista kohde"
Emails,Sähköpostit
"Total Items","Tuotteita yhteensä"
Remaining,Jäljellä
Public,Julkinen
Short,Lyhyt
Long,Pitkä
"%1 email(s) were sent.","%1 sähköposti(a) lähetettiin."
"The wish list item has been added to this gift registry.","Toivelistan tuote on lisätty tähän lahjarekisteriin."
"Please enter correct search options.","Anna oikeat hakuehdot."
"Please enter at least 2 letters of the first name.","Kirjoita vähintään 2 etunimen merkkiä."
"Please enter at least 2 letters of the last name.","Kirjoita vähintään 2 sukunimen kirjainta."
"Please enter a valid email address.","Syötä toimiva sähköpostiosoite."
Private,Yksityinen
"We cannot specify the product.","Tuotetta ei voida määrittää."
"This product(s) is out of stock.","Tämä tuote on loppu varastosta."
